cod_cliente,primeiro_nome,ultimo_nome,email,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento,endereco,cep,Quantidades de Tipos de Clientes
28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,8/11/2006,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,998
674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,10/11/1995,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,
693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,11/19/1948,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,
743,Clara,Dias,rafaelcorreia@example.org,PF,2019-05-06 11:39:00 UTC,589.237.610-95,1/27/1978,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792,
769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,8/25/1990,"Rua Correia, 889 Diamante 59123250 Aragão / RS",1672838,
824,Heloísa,Dias,alanadias@example.org,PF,2016-01-07 12:26:00 UTC,536.981.240-33,5/12/1967,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131,
884,Maria Julia,Dias,alvesmariana@example.net,PF,2017-08-06 11:01:00 UTC,150.438.926-33,12/10/1950,"Esplanada Maria Luiza Ribeiro, 4 Conjunto Califórnia Ii 13748392 Moraes / ES",90221-380,
899,Arthur,Dias,castropedro-lucas@example.net,PF,2021-10-17 13:00:00 UTC,509.481.762-02,2/26/1953,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244,
908,Vitor Gabriel,Dias,acardoso@example.com,PF,2021-04-02 10:22:00 UTC,158.406.379-39,3/25/1948,"Passarela Lucca Castro, 73 Vila Paris 99268696 Farias / BA",42603-833,
945,Caio,Dias,moraesmarina@example.org,PF,2016-05-10 13:56:00 UTC,975.860.431-75,6/11/1955,"Fazenda Emanuel Gomes, 6 Cruzeiro 29428-910 Novaes / SP",23176352,
5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,3/4/1994,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,
262,João Lucas,Lima,brunaduarte@example.org,PF,2019-10-19 11:14:00 UTC,358.702.964-47,10/17/1950,"Rua João Lucas Freitas, 46 Vila Nova Cachoeirinha 2ª Seção 97602-589 Castro de Goiás / AC",29942-354,
281,Enrico,Lima,fernandesbryan@example.net,PF,2016-06-27 15:06:00 UTC,180.746.392-31,1/15/1978,"Praia Isabelly Martins, 7 Morro Dos Macacos 27993489 da Mota do Amparo / MS",97628-818,
352,Carolina,Lima,maria-sophiacardoso@example.com,PF,2022-06-05 14:12:00 UTC,658.079.314-75,7/19/1948,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154,
387,Isaac,Lima,nicolecardoso@example.com,PF,2014-02-08 13:28:00 UTC,869.103.725-30,7/22/1945,"Chácara Pietra Nascimento, 7 Apolonia 81600-416 Novaes das Pedras / AL",26119706,
522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,5/5/1990,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,
729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,8/5/1956,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,
887,Kevin,Lima,kamilly26@example.net,PF,2021-02-27 11:43:00 UTC,538.169.047-93,7/9/1950,"Passarela Silva, 4 Vila Nova Cachoeirinha 2ª Seção 92334096 Alves do Oeste / ES",12716-003,
70,Enrico,Melo,pedro-henriqueviana@example.org,PF,2021-02-18 15:23:00 UTC,418.962.035-15,11/8/1988,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526,
226,Isabella,Melo,vramos@example.com,PF,2017-01-14 11:27:00 UTC,716.452.809-85,10/1/1952,"Viela Theo Ramos, 14 Paquetá 59350-231 Pereira da Serra / SC",16954952,
239,Bernardo,Melo,maria-alice61@example.net,PF,2017-02-25 16:31:00 UTC,327.459.861-55,4/26/1979,"Fazenda Gomes, 81 Cidade Jardim Taquaril 81318-214 da Rocha do Galho / PE",51092202,
265,Heitor,Melo,vitor-gabrielmonteiro@example.com,PF,2019-06-05 11:17:00 UTC,598.067.321-03,10/25/1989,"Vila Gonçalves, 11 Pousada Santo Antonio 46466-651 Ferreira / GO",96975888,
366,Pedro,Melo,arthurvieira@example.com,PF,2014-06-06 15:19:00 UTC,809.461.527-30,3/21/1978,"Lago de Barros, 8 Sport Club 21887406 Monteiro das Flores / GO",73739-486,
467,Gustavo Henrique,Melo,da-cunhabrenda@example.com,PF,2018-02-26 12:52:00 UTC,532.709.841-97,10/12/1999,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820,
602,Thomas,Melo,mda-rocha@example.net,PF,2018-10-24 13:07:00 UTC,549.671.082-02,8/25/1991,"Vila de Pereira, 48 Mantiqueira 16617426 Cardoso / BA",77360-182,
691,Raquel,Melo,thiago84@example.net,PF,2020-07-15 16:46:00 UTC,874.351.602-53,8/21/1978,Sítio Enzo Fernandes Madre Gertrudes 07858527 da Cruz Verde / AP,51214338,
783,Nicole,Melo,ericknogueira@example.com,PF,2015-09-21 11:35:00 UTC,602.143.987-22,7/13/1968,"Sítio Teixeira, 99 Conjunto Jatoba 48852-845 Correia de Goiás / PI",49990438,
786,Luna,Melo,oliveiradavi@example.net,PF,2019-01-21 14:29:00 UTC,125.386.974-09,5/16/1959,"Morro Kaique Fogaça, 5 Barão Homem De Melo 2ª Seção 99410668 Fernandes / RN",84504002,
792,Levi,Melo,da-cunhajoao-guilherme@example.net,PF,2018-12-08 12:54:00 UTC,061.947.285-58,1/11/1977,"Vereda Vieira, 835 Baleia 98810617 Oliveira da Prata / BA",63158375,
811,Yuri,Melo,mouralivia@example.com,PF,2018-08-06 11:04:00 UTC,943.162.708-69,11/13/1972,"Estrada Nicole Moraes, 36 Vila Petropolis 83982453 Alves / TO",69025958,
834,Luna,Melo,caldeiranicolas@example.com,PF,2015-03-25 14:02:00 UTC,416.287.395-09,9/20/1967,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597,
911,Daniel,Melo,nicole57@example.com,PF,2011-09-22 12:17:00 UTC,576.184.902-01,3/23/1984,"Vale Antônio Lima, 4 São João 47295-375 Nunes / PA",4065275,
924,Melissa,Melo,samuelmonteiro@example.com,PF,2021-10-20 15:55:00 UTC,412.307.695-52,7/8/1988,Trecho Daniel Freitas Vila Dos Anjos 03780697 Nascimento / PB,47546-871,
993,Beatriz,Melo,brendacaldeira@example.org,PF,2017-10-07 11:40:00 UTC,786.914.320-04,3/16/1998,"Parque Rodrigues, 104 Nova America 72291173 Peixoto / TO",88422-547,
56,Maria Luiza,Alves,souzasophie@example.org,PF,2022-09-21 14:40:00 UTC,428.691.053-98,9/8/1992,"Loteamento Campos, 6 Dona Clara 75778-811 Pires das Flores / SP",87868-132,
71,Luiza,Alves,sdias@example.com,PF,2013-12-14 13:59:00 UTC,578.962.410-30,12/31/1954,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393,
92,Daniel,Alves,carvalhofernando@example.com,PF,2017-02-03 15:31:00 UTC,923.540.671-43,11/22/1969,"Alameda Maria Clara Lopes, 48 Alto Barroca 93067-803 Ramos da Serra / RJ",30314554,
116,Isaac,Alves,fmoraes@example.com,PF,2014-10-17 13:19:00 UTC,783.290.516-68,8/1/1953,"Setor Silveira, 9 Esperança 54390-541 Cavalcanti / PB",75462082,
289,Maria Alice,Alves,renanmoura@example.net,PF,2022-12-11 14:34:00 UTC,826.703.591-59,2/14/1983,Lago da Cunha São Francisco Das Chagas 39623597 da Cunha / MS,11965-789,
364,Miguel,Alves,bcarvalho@example.net,PF,2013-09-07 14:06:00 UTC,806.751.439-93,7/30/1967,"Favela Mendes, 15 Cônego Pinheiro 1ª Seção 48858415 Ramos / PI",14157-016,
381,Melissa,Alves,oliveiracecilia@example.net,PF,2016-10-21 15:50:00 UTC,753.481.029-97,11/1/1972,"Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",26941177,
421,Mirella,Alves,luna28@example.com,PF,2020-04-24 10:07:00 UTC,903.648.527-47,11/9/1970,"Loteamento Rodrigues, 869 Palmares 97692-838 da Cunha / AM",88078064,
664,Clara,Alves,oliviasantos@example.org,PF,2017-11-12 15:21:00 UTC,421.603.795-06,6/12/1975,"Distrito Ferreira, 19 São Luiz 77702611 Nascimento do Norte / RS",2434042,
788,Lavínia,Alves,diogoramos@example.org,PF,2021-06-11 11:11:00 UTC,742.059.863-00,1/2/1954,"Condomínio de Duarte, 4 Alta Tensão 2ª Seção 90644-133 Pereira / PA",25512578,
829,Sarah,Alves,rauldas-neves@example.com,PF,2020-04-16 10:33:00 UTC,274.803.516-07,9/6/1946,"Distrito de da Mota, 41 Aeroporto 74948002 da Cunha / PI",98200059,
847,Thiago,Alves,bda-rocha@example.com,PF,2017-10-23 12:25:00 UTC,539.186.704-57,9/25/1976,"Viaduto Laura Pinto, 5 Vila Santa Monica 1ª Seção 93180-322 da Rosa / SP",31500163,
852,Isabelly,Alves,joao-lucas08@example.com,PF,2015-07-01 16:05:00 UTC,416.739.085-00,10/20/1983,"Trecho de Barbosa, 9 Lagoinha Leblon 56609-518 Ferreira / ES",18876-575,
