num_conta,cod_cliente,cod_agencia,cod_colaborador,tipo_conta,data_abertura,saldo_total,saldo_disponivel,data_ultimo_lancamento,ano_ultimo_lancamento,,,,,,,,,,,
53,53,1,7,PF,2011-05-24 15:30:00 UTC,2984.7615,2814.67,2019-07-02 11:03:46 UTC,2019,,,,,,,,,,,
190,190,1,7,PF,2014-10-17 14:48:00 UTC,4262.4322,4191.86,2021-03-25 12:00:15 UTC,2021,,,,,,,,,,,
191,191,1,7,PF,2013-03-23 14:14:00 UTC,3266.568,3080.71,2016-09-09 23:34:15 UTC,2016,,,,,,,,,,,
203,203,1,7,PF,2016-08-03 16:13:00 UTC,21241.5424,19461.56,2022-12-28 07:58:24 UTC,2022,,,,,,,,,,,
254,254,1,7,PF,2012-10-24 13:48:00 UTC,13335.6966,13197.54,2013-12-20 22:20:00 UTC,2013,,,,,,,,,,,
306,306,1,7,PF,2012-05-23 12:11:00 UTC,22997.4738,21677.88,2016-10-05 03:14:36 UTC,2016,,1,2,3,4,5,6,7,8,9,10
472,472,1,7,PF,2022-08-07 12:08:00 UTC,4178.4237,4183.68,2022-12-30 00:00:00.67516 UTC,2022,Total de clientes,119,101,76,65,61,52,460,30,30,5
520,520,1,7,PF,2019-11-03 16:26:00 UTC,1809.8087,1288.51,2022-12-29 23:59:59.753932 UTC,2022,,,,,,,,,,,
739,739,1,7,PF,2014-02-26 12:20:00 UTC,45.7691,616.79,2022-12-29 23:59:59.789361 UTC,2022,Total de ultimo lancamento em 2022 da agencia 7,,,,,,,,,,
509,509,1,13,PF,2012-01-20 11:56:00 UTC,19159.7952,19863.76,2016-06-09 22:25:04 UTC,2016,782,,,,,,,,,,
688,688,1,13,PF,2017-12-05 11:03:00 UTC,61105.5635,55917.15,2022-09-24 13:18:37 UTC,2022,,,,,,,,,,,
775,775,1,13,PF,2011-03-19 14:55:00 UTC,39008.684,35288.34,2021-06-25 14:12:03 UTC,2021,Total de ultimo lancamento em 2022 da agencia 7,,,,,,,,,,
920,920,1,13,PF,2021-01-22 13:48:00 UTC,2023.578,2511.3,2022-12-29 23:59:59.953426 UTC,2022,393,,,,>=2022,790,"""Ativos""",,,,
